Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,3,3,0,0
Mar 05,4,4,0,0
Mar 06,4,4,0,0
Mar 07,5,5,0,0
Mar 08,5,5,0,0
Mar 09,5,5,0,0
Mar 10,5,5,0,0
Mar 11,5,5,0,0
Mar 12,5,5,0,0
Mar 13,6,6,0,0
Mar 14,8,8,0,0
Mar 15,8,8,0,0
Mar 16,8,8,0,0
Mar 17,20,20,0,0
Mar 18,20,20,0,0
Mar 19,28,28,0,0
Mar 20,52,52,0,0
Mar 21,52,52,0,0
Mar 22,102,102,0,0
Mar 23,102,102,0,0
Mar 24,205,183,0,22
Mar 25,283,256,0,27
Mar 26,368,331,0,37
Mar 27,368,331,0,37
Mar 28,514,457,1,57
Mar 29,514,457,1,57
Mar 30,589,525,1,64
Mar 31,647,572,1,75
Apr 01,708,624,1,84
Apr 02,797,704,1,93
Apr 03,868,764,1,104
Apr 04,950,822,1,128
Apr 05,1039,882,1,157
Apr 06,1106,929,1,177
Apr 07,1160,918,1,242
Apr 08,1210,927,1,283
Apr 09,1239,921,1,318
Apr 10,1283,908,2,375
Apr 11,1312,886,4,426
Apr 12,1330,855,4,475
Apr 13,1349,798,5,551
Apr 14,1366,729,9,637
Apr 15,1386,649,9,737
Apr 16,1401,622,9,779
Apr 17,1409,582,11,827
Apr 18,1422,544,11,878
Apr 19,1431,507,12,924
Apr 20,1440,454,12,986
Apr 21,1445,426,13,1019
Apr 22,1448,398,14,1050
Apr 23,1451,370,16,1081
Apr 24,1456,344,17,1112
Apr 25,1461,325,18,1136
Apr 26,1469,309,18,1160
Apr 27,1469,270,19,1199
Apr 28,1472,239,19,1233
Apr 29,1474,226,19,1248
Apr 30,1476,216,19,1260
May 01,1479,208,19,1271
May 02,1485,202,20,1283
May 03,1487,201,20,1286
May 04,1487,191,20,1296
May 05,1486,164,20,1322
May 06,1488,151,21,1337
May 07,1489,136,21,1353
May 08,1490,122,21,1368
May 09,1492,103,21,1389
May 10,1494,102,21,1392
May 11,1497,90,21,1407
May 12,1497,78,21,1419
May 13,1497,74,21,1423
May 14,1497,65,21,1432
May 15,1498,56,21,1442
May 16,1498,49,21,1449
May 17,1499,45,21,1454
May 18,1499,45,21,1454
May 19,1503,40,21,1463
May 20,1503,35,21,1468
May 21,1503,30,21,1473
May 22,1504,28,21,1476
May 23,1504,28,21,1476
May 24,1504,27,21,1477
May 25,1504,27,21,1477
May 26,1504,22,21,1482
May 27,1504,21,21,1483
May 28,1504,8,22,1496
May 29,1504,1,22,1503
May 30,1504,1,22,1503
May 31,1504,1,22,1503
Jun 01,1504,1,22,1503
Jun 02,1504,1,22,1503
Jun 03,1504,1,22,1503
Jun 04,1504,1,22,1503
Jun 05,1504,1,22,1503
Jun 06,1504,1,22,1503
Jun 07,1504,1,22,1503
Jun 08,1504,0,22,1504
Jun 09,1504,0,22,1504
Jun 10,1504,0,22,1504
Jun 11,1504,0,22,1504
