Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,1,1,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,1,1,0,0
Feb 29,1,1,0,0
Mar 01,3,3,0,0
Mar 02,5,5,0,0
Mar 03,8,8,0,0
Mar 04,17,17,0,0
Mar 05,17,17,0,0
Mar 06,17,17,0,0
Mar 07,19,19,0,0
Mar 08,20,20,0,0
Mar 09,20,20,0,0
Mar 10,20,20,0,0
Mar 11,20,12,0,8
Mar 12,26,14,2,12
Mar 13,26,14,2,12
Mar 14,39,26,3,13
Mar 15,54,40,4,14
Mar 16,60,46,4,14
Mar 17,61,46,5,15
Mar 18,75,36,7,39
Mar 19,90,49,9,41
Mar 20,94,51,11,43
Mar 21,139,59,15,80
Mar 22,201,119,17,82
Mar 23,230,148,17,82
Mar 24,264,221,19,43
Mar 25,302,216,21,86
Mar 26,367,313,25,54
Mar 27,409,354,26,55
Mar 28,454,394,29,60
Mar 29,511,449,31,62
Mar 30,584,512,35,72
Mar 31,716,626,44,90
Apr 01,847,728,58,119
Apr 02,986,839,86,147
Apr 03,1171,1004,105,167
Apr 04,1251,1031,130,220
Apr 05,1320,1078,152,242
Apr 06,1423,1160,173,263
Apr 07,1468,1162,193,306
Apr 08,1572,1130,205,442
Apr 09,1666,1084,235,582
Apr 10,1761,1100,256,661
Apr 11,1825,1090,275,735
Apr 12,1914,1030,293,884
Apr 13,1983,1069,313,914
Apr 14,2070,1053,326,1017
Apr 15,2160,1116,336,1044
Apr 16,2268,1137,348,1131
Apr 17,2418,1208,364,1210
Apr 18,2534,1273,367,1261
Apr 19,2629,1207,375,1422
Apr 20,2718,1235,384,1483
Apr 21,2811,1267,392,1544
Apr 22,2910,1304,402,1606
Apr 23,3007,1245,407,1762
Apr 24,3127,1304,415,1823
Apr 25,3256,1358,419,1898
Apr 26,3382,1449,425,1933
Apr 27,3517,1527,432,1990
Apr 28,3649,1561,437,2088
Apr 29,3848,1702,444,2146
Apr 30,4006,1777,450,2229
May 01,4154,1880,453,2274
May 02,4295,1964,459,2331
May 03,4474,2075,463,2399
May 04,4648,2185,465,2463
May 05,4838,2301,470,2537
May 06,4997,2324,476,2673
May 07,5182,2376,483,2806
May 08,5369,2414,488,2955
May 09,5558,2518,494,3040
May 10,5723,2543,502,3180
May 11,5891,2543,507,3348
May 12,6067,2554,515,3513
May 13,6253,2673,522,3580
May 14,6442,2755,529,3687
May 15,6629,2822,536,3807
May 16,6821,2870,542,3951
May 17,7019,2964,548,4055
May 18,7201,3021,555,4180
May 19,7377,3070,561,4307
May 20,7542,3006,568,4536
May 21,7728,3091,575,4637
May 22,7918,3080,582,4838
May 23,8113,3095,592,5018
May 24,8306,3128,600,5178
May 25,8503,3147,609,5356
May 26,8697,3162,617,5535
May 27,8857,3105,623,5752
