Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,1,1,0,0
Mar 16,1,1,0,0
Mar 17,1,1,0,0
Mar 18,1,1,0,0
Mar 19,1,1,0,0
Mar 20,3,3,0,0
Mar 21,3,3,0,0
Mar 22,3,3,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,3,0,0
Mar 27,3,3,0,0
Mar 28,3,3,0,0
Mar 29,3,3,0,0
Mar 30,3,3,0,0
Mar 31,3,3,0,0
Apr 01,3,3,0,0
Apr 02,3,3,0,0
Apr 03,8,8,0,0
Apr 04,8,8,0,0
Apr 05,8,8,0,0
Apr 06,8,8,0,0
Apr 07,8,8,0,0
Apr 08,8,8,0,0
Apr 09,8,8,0,0
Apr 10,8,8,0,0
Apr 11,8,8,0,0
Apr 12,8,8,0,0
Apr 13,11,8,0,3
Apr 14,11,7,0,4
Apr 15,12,8,0,4
Apr 16,12,8,0,4
Apr 17,12,8,0,4
Apr 18,12,8,0,4
Apr 19,12,8,0,4
Apr 20,12,8,0,4
Apr 21,14,4,0,10
Apr 22,16,6,0,10
Apr 23,16,6,0,10
Apr 24,16,6,0,10
Apr 25,16,6,0,10
Apr 26,41,31,0,10
Apr 27,50,40,0,10
Apr 28,50,40,0,10
Apr 29,50,40,0,10
Apr 30,50,40,0,10
May 01,72,62,0,10
May 02,72,62,0,10
May 03,72,62,0,10
May 04,85,75,0,10
May 05,85,75,0,10
May 06,94,84,0,10
May 07,94,84,0,10
May 08,143,133,0,10
May 09,143,133,0,10
May 10,143,133,0,10
May 11,143,133,0,10
May 12,143,133,0,10
May 13,143,133,0,10
May 14,143,133,0,10
May 15,301,288,0,13
May 16,327,314,0,13
May 17,327,314,0,13
May 18,327,314,0,13
May 19,366,348,0,18
May 20,418,400,0,18
May 21,436,418,0,18
May 22,479,461,0,18
May 23,552,533,1,19
May 24,604,581,1,23
May 25,652,629,1,23
May 26,671,648,1,23
May 27,702,678,1,24
May 28,755,731,1,24
May 29,874,850,1,24
May 30,962,938,1,24
May 31,1011,986,2,25
Jun 01,1069,1042,4,27
Jun 02,1069,1042,4,27
Jun 03,1173,1146,4,27
Jun 04,1288,1261,4,27
Jun 05,1451,1418,4,33
Jun 06,1570,1528,5,42
Jun 07,1634,1591,5,43
Jun 08,1850,1807,5,43
Jun 09,1850,1807,5,43
Jun 10,1888,1845,5,43
Jun 11,1952,1909,5,43
