Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,1,1,0,0
Mar 10,2,2,0,0
Mar 11,2,2,0,0
Mar 12,2,2,0,0
Mar 13,2,2,0,0
Mar 14,2,2,0,0
Mar 15,3,3,0,0
Mar 16,15,15,0,0
Mar 17,15,15,0,0
Mar 18,27,26,1,1
Mar 19,33,32,1,1
Mar 20,40,35,1,5
Mar 21,64,56,3,8
Mar 22,75,66,4,9
Mar 23,99,90,4,9
Mar 24,114,103,4,11
Mar 25,146,132,4,14
Mar 26,152,135,7,17
Mar 27,180,159,9,21
Mar 28,207,175,11,32
Mar 29,222,187,12,35
Mar 30,246,203,12,43
Mar 31,261,215,14,46
Apr 01,282,220,16,62
Apr 02,288,222,16,66
Apr 03,302,236,16,66
Apr 04,318,236,16,82
Apr 05,345,238,17,107
Apr 06,364,238,18,126
Apr 07,384,238,19,146
Apr 08,414,257,23,157
Apr 09,443,273,24,170
Apr 10,448,273,26,175
Apr 11,484,302,27,182
Apr 12,497,309,27,188
Apr 13,515,327,27,188
Apr 14,528,321,30,207
Apr 15,542,284,32,258
Apr 16,546,257,32,289
Apr 17,557,228,35,329
Apr 18,565,208,36,357
Apr 19,576,202,36,374
Apr 20,581,186,38,395
Apr 21,600,200,38,400
Apr 22,609,181,39,428
Apr 23,616,165,41,451
Apr 24,629,163,41,466
Apr 25,629,146,41,483
Apr 26,632,137,42,495
Apr 27,635,124,42,511
Apr 28,638,120,42,518
Apr 29,641,100,43,541
Apr 30,645,96,43,549
May 01,649,88,44,561
May 02,652,73,44,579
May 03,662,77,45,585
May 04,672,81,46,591
May 05,688,92,48,596
May 06,729,126,48,603
May 07,736,126,48,610
May 08,744,130,48,614
May 09,748,131,48,617
May 10,751,125,49,626
May 11,760,126,50,634
May 12,766,127,51,639
May 13,773,130,51,643
May 14,773,130,51,643
May 15,780,134,51,646
May 16,782,127,51,655
May 17,796,101,51,695
May 18,796,93,51,703
May 19,796,93,51,703
May 20,809,96,52,713
May 21,812,91,52,721
May 22,814,90,52,724
May 23,814,90,52,724
May 24,814,90,52,724
May 25,832,108,52,724
May 26,832,108,52,724
May 27,845,120,53,725
May 28,847,75,53,772
May 29,847,74,53,773
May 30,847,74,53,773
May 31,847,74,53,773
Jun 01,847,74,53,773
Jun 02,881,108,53,773
Jun 03,884,78,53,806
Jun 04,885,72,53,813
Jun 05,888,75,53,813
Jun 06,888,70,53,818
Jun 07,889,71,53,818
Jun 08,890,72,53,818
Jun 09,891,73,53,818
Jun 10,891,73,53,818
Jun 11,892,49,53,843
