Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,1,1,0,0
Mar 13,1,0,0,1
Mar 14,1,0,0,1
Mar 15,12,11,0,1
Mar 16,29,28,0,1
Mar 17,48,47,0,1
Mar 18,56,55,0,1
Mar 19,69,68,0,1
Mar 20,84,83,0,1
Mar 21,100,99,0,1
Mar 22,112,111,0,1
Mar 23,127,126,0,1
Mar 24,154,153,0,1
Mar 25,172,171,0,1
Mar 26,212,211,0,1
Mar 27,235,216,1,19
Mar 28,246,227,1,19
Mar 29,259,238,3,21
Mar 30,268,237,5,31
Mar 31,274,239,5,35
Apr 01,278,237,5,41
Apr 02,299,249,5,50
Apr 03,310,247,5,63
Apr 04,323,244,5,79
Apr 05,345,230,5,115
Apr 06,349,217,6,132
Apr 07,353,209,6,144
Apr 08,358,202,6,156
Apr 09,372,204,7,168
Apr 10,372,195,7,177
Apr 11,381,197,7,184
Apr 12,389,181,7,208
Apr 13,391,169,7,222
Apr 14,397,155,7,242
Apr 15,401,144,7,257
Apr 16,402,136,7,266
Apr 17,407,135,7,272
Apr 18,413,137,7,276
Apr 19,417,134,7,283
Apr 20,425,136,7,289
Apr 21,428,124,7,304
Apr 22,435,113,7,322
Apr 23,437,112,7,325
Apr 24,441,108,7,333
Apr 25,444,105,7,339
Apr 26,447,103,7,344
Apr 27,449,100,7,349
Apr 28,449,93,8,356
Apr 29,451,87,8,364
Apr 30,453,83,8,370
May 01,459,87,8,372
May 02,460,84,9,376
May 03,461,85,9,376
May 04,465,86,9,379
May 05,471,87,9,384
May 06,473,87,9,386
May 07,494,104,9,390
May 08,508,114,9,394
May 09,522,126,9,396
May 10,540,142,9,398
May 11,562,163,9,399
May 12,576,177,9,399
May 13,582,181,9,401
May 14,586,184,9,402
May 15,596,186,9,410
May 16,607,194,9,413
May 17,613,196,9,417
May 18,629,207,9,422
May 19,649,223,9,426
May 20,672,217,9,455
May 21,684,218,9,466
May 22,700,230,9,470
May 23,704,225,9,479
May 24,708,228,9,480
May 25,711,223,9,488
May 26,718,223,9,495
May 27,720,225,9,495
May 28,728,222,9,506
May 29,730,214,9,516
May 30,734,218,9,516
May 31,739,208,9,531
Jun 01,746,202,9,544
Jun 02,755,197,9,558
Jun 03,757,187,9,570
Jun 04,765,190,9,575
Jun 05,784,204,9,580
Jun 06,795,200,9,595
Jun 07,808,192,9,616
Jun 08,831,195,9,636
Jun 09,845,179,9,666
Jun 10,863,191,9,672
Jun 11,890,211,9,679
