Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,1,1,0,0
Mar 14,1,1,0,0
Mar 15,2,2,0,0
Mar 16,2,2,0,0
Mar 17,2,2,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,3,3,0,0
Mar 24,3,3,0,0
Mar 25,3,3,0,0
Mar 26,3,2,0,1
Mar 27,3,2,0,1
Mar 28,3,2,0,1
Mar 29,9,8,0,1
Mar 30,9,8,0,1
Mar 31,13,12,0,1
Apr 01,13,12,0,1
Apr 02,13,12,0,1
Apr 03,13,12,0,1
Apr 04,14,13,0,1
Apr 05,14,13,0,1
Apr 06,14,13,0,1
Apr 07,14,13,0,1
Apr 08,14,13,0,1
Apr 09,14,13,0,1
Apr 10,15,14,0,1
Apr 11,15,14,0,1
Apr 12,15,11,0,4
Apr 13,15,11,0,4
Apr 14,15,4,0,11
Apr 15,15,4,0,11
Apr 16,15,4,0,11
Apr 17,15,4,0,11
Apr 18,15,4,0,11
Apr 19,15,4,0,11
Apr 20,15,2,0,13
Apr 21,15,2,0,13
Apr 22,15,0,0,15
Apr 23,15,0,0,15
Apr 24,15,0,0,15
Apr 25,15,0,0,15
Apr 26,15,0,0,15
Apr 27,15,0,0,15
Apr 28,15,0,0,15
Apr 29,17,2,0,15
Apr 30,17,2,0,15
May 01,17,2,0,15
May 02,17,2,0,15
May 03,18,3,0,15
May 04,18,3,0,15
May 05,18,3,0,15
May 06,18,3,0,15
May 07,18,1,0,17
May 08,18,1,0,17
May 09,18,1,0,17
May 10,18,1,0,17
May 11,18,1,0,17
May 12,18,1,0,17
May 13,18,0,0,18
May 14,18,0,0,18
May 15,18,0,0,18
May 16,18,0,0,18
May 17,18,0,0,18
May 18,18,0,0,18
May 19,18,0,0,18
May 20,18,0,0,18
May 21,18,0,0,18
May 22,18,0,0,18
May 23,18,0,0,18
May 24,18,0,0,18
May 25,18,0,0,18
May 26,18,0,0,18
May 27,18,0,0,18
May 28,18,0,0,18
May 29,18,0,0,18
May 30,18,0,0,18
May 31,18,0,0,18
Jun 01,18,0,0,18
Jun 02,18,0,0,18
Jun 03,18,0,0,18
Jun 04,19,1,0,18
Jun 05,19,1,0,18
Jun 06,19,1,0,18
Jun 07,19,1,0,18
Jun 08,19,1,0,18
Jun 09,19,1,0,18
Jun 10,19,1,0,18
Jun 11,19,1,0,18
