Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,2,2,0,0
Mar 19,2,2,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,6,6,0,0
Mar 23,6,6,0,0
Mar 24,6,6,0,0
Mar 25,7,7,0,0
Mar 26,15,13,0,2
Mar 27,17,15,0,2
Mar 28,17,15,0,2
Mar 29,22,20,0,2
Mar 30,27,25,0,2
Mar 31,32,22,0,10
Apr 01,32,22,0,10
Apr 02,35,24,0,11
Apr 03,35,21,0,14
Apr 04,37,23,0,14
Apr 05,37,23,0,14
Apr 06,39,20,2,19
Apr 07,39,20,2,19
Apr 08,39,13,3,26
Apr 09,48,19,4,29
Apr 10,48,19,4,29
Apr 11,48,19,4,29
Apr 12,57,24,4,33
Apr 13,57,22,5,35
Apr 14,57,22,5,35
Apr 15,81,43,5,38
Apr 16,81,43,5,38
Apr 17,83,43,5,40
Apr 18,83,43,5,40
Apr 19,86,46,5,40
Apr 20,89,45,5,44
Apr 21,98,54,5,44
Apr 22,99,55,5,44
Apr 23,99,55,5,44
Apr 24,99,55,5,44
Apr 25,109,65,5,44
Apr 26,109,65,5,44
Apr 27,110,60,6,50
Apr 28,110,60,6,50
Apr 29,111,57,6,54
Apr 30,114,60,6,54
May 01,114,60,6,54
May 02,114,56,7,58
May 03,115,57,7,58
May 04,115,54,7,61
May 05,115,54,7,61
May 06,118,52,7,66
May 07,118,50,7,68
May 08,118,50,7,68
May 09,118,47,7,71
May 10,118,47,7,71
May 11,119,45,8,74
May 12,121,47,8,74
May 13,121,47,8,74
May 14,122,47,9,75
May 15,122,47,9,75
May 16,123,41,9,82
May 17,123,41,9,82
May 18,125,39,9,86
May 19,125,38,9,87
May 20,125,36,9,89
May 21,125,36,9,89
May 22,128,38,9,90
May 23,128,38,9,90
May 24,133,43,9,90
May 25,133,35,9,98
May 26,139,39,9,100
May 27,139,39,9,100
May 28,140,39,9,101
May 29,140,39,9,101
May 30,140,39,9,101
May 31,140,39,9,101
Jun 01,141,20,9,121
Jun 02,141,19,9,122
Jun 03,141,19,9,122
Jun 04,141,19,9,122
Jun 05,141,18,9,123
Jun 06,141,18,9,123
Jun 07,141,18,9,123
Jun 08,141,12,9,129
Jun 09,141,12,9,129
Jun 10,141,7,9,134
Jun 11,141,5,9,136
