Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,0,0,0,0
Mar 09,0,0,0,0
Mar 10,0,0,0,0
Mar 11,0,0,0,0
Mar 12,0,0,0,0
Mar 13,0,0,0,0
Mar 14,0,0,0,0
Mar 15,0,0,0,0
Mar 16,0,0,0,0
Mar 17,0,0,0,0
Mar 18,0,0,0,0
Mar 19,0,0,0,0
Mar 20,2,2,0,0
Mar 21,2,2,0,0
Mar 22,2,2,0,0
Mar 23,6,6,0,0
Mar 24,7,7,0,0
Mar 25,8,8,0,0
Mar 26,8,8,0,0
Mar 27,8,8,0,0
Mar 28,8,8,0,0
Mar 29,15,14,0,1
Mar 30,15,14,0,1
Mar 31,15,14,0,1
Apr 01,16,15,0,1
Apr 02,16,15,0,1
Apr 03,18,17,0,1
Apr 04,20,19,0,1
Apr 05,21,19,1,2
Apr 06,24,23,1,1
Apr 07,25,24,1,1
Apr 08,27,26,1,1
Apr 09,30,28,2,2
Apr 10,31,29,2,2
Apr 11,33,31,2,2
Apr 12,33,30,3,3
Apr 13,40,37,3,3
Apr 14,40,37,3,3
Apr 15,41,38,3,3
Apr 16,41,38,3,3
Apr 17,43,40,3,3
Apr 18,44,41,3,3
Apr 19,47,44,3,3
Apr 20,57,54,3,3
Apr 21,57,54,3,3
Apr 22,62,56,4,6
Apr 23,72,65,5,7
Apr 24,72,65,5,7
Apr 25,72,60,6,12
Apr 26,74,61,6,13
Apr 27,74,61,6,13
Apr 28,76,62,6,14
Apr 29,76,62,6,14
Apr 30,81,65,8,16
May 01,85,67,8,18
May 02,85,67,8,18
May 03,85,67,8,18
May 04,100,79,11,21
May 05,101,79,12,22
May 06,101,79,12,22
May 07,129,101,12,28
May 08,146,117,12,29
May 09,151,122,12,29
May 10,182,150,15,32
May 11,182,150,15,32
May 12,209,176,16,33
May 13,219,184,18,35
May 14,234,199,18,35
May 15,273,235,20,38
May 16,358,309,20,49
May 17,456,415,20,41
May 18,533,491,21,42
May 19,533,491,21,42
May 20,596,553,22,43
May 21,663,620,22,43
May 22,734,688,25,46
May 23,812,765,25,47
May 24,865,817,26,48
May 25,958,909,27,49
May 26,1063,1010,31,53
May 27,1174,1119,33,55
May 28,1320,1264,34,56
May 29,1443,1386,35,57
May 30,1584,1527,35,57
May 31,1865,1800,41,65
Jun 01,2124,2056,44,68
Jun 02,2226,2157,45,69
Jun 03,2507,2435,48,72
Jun 04,2640,2566,50,74
Jun 05,2740,2666,50,74
Jun 06,3072,2998,50,74
Jun 07,3072,2998,50,74
Jun 08,3334,3259,51,75
Jun 09,3538,3460,54,78
Jun 10,3662,3582,56,80
Jun 11,3796,3714,58,82
Jun 12,3941,3853,64,88
Jun 13,3941,3853,64,88
Jun 14,4165,4071,70,94
Jun 15,4309,4212,73,97
Jun 16,4441,4341,76,100
Jun 17,4547,4443,80,104
