Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,72,54,0,18
Feb 16,75,56,0,19
Feb 17,77,53,0,24
Feb 18,81,52,0,29
Feb 19,84,50,0,34
Feb 20,85,48,0,37
Feb 21,86,39,0,47
Feb 22,89,40,0,49
Feb 23,89,38,0,51
Feb 24,90,41,0,49
Feb 25,91,33,0,58
Feb 26,93,31,0,62
Feb 27,96,30,0,66
Feb 28,98,29,0,69
Feb 29,102,30,0,72
Mar 01,106,32,0,74
Mar 02,108,30,0,78
Mar 03,110,32,0,78
Mar 04,112,33,0,79
Mar 05,117,36,0,81
Mar 06,130,48,0,82
Mar 07,138,48,0,90
Mar 08,150,60,0,90
Mar 09,160,67,0,93
Mar 10,166,73,0,93
Mar 11,178,82,0,96
Mar 12,187,91,0,96
Mar 13,200,103,0,97
Mar 14,212,107,0,105
Mar 15,226,121,0,105
Mar 16,243,134,0,109
Mar 17,266,152,0,114
Mar 18,313,196,0,117
Mar 19,345,221,0,124
Mar 20,385,254,0,131
Mar 21,432,290,2,142
Mar 22,455,309,2,146
Mar 23,509,355,2,154
Mar 24,558,400,2,158
Mar 25,631,469,2,162
Mar 26,683,509,2,174
Mar 27,732,547,2,185
Mar 28,802,602,2,200
Mar 29,844,629,3,215
Mar 30,879,648,3,231
Mar 31,926,683,3,243
Apr 01,1000,752,3,248
Apr 02,1049,779,4,270
Apr 03,1114,827,5,287
Apr 04,1189,886,6,303
Apr 05,1309,983,6,326
Apr 06,1375,1025,6,350
Apr 07,1481,1098,6,383
Apr 08,1623,1211,6,412
Apr 09,1910,1444,6,466
Apr 10,2108,1609,7,499
Apr 11,2299,1763,8,536
Apr 12,2532,1964,8,568
Apr 13,2918,2323,9,595
Apr 14,3252,2631,10,621
Apr 15,3699,3037,10,662
Apr 16,4427,3734,10,693
Apr 17,5050,4331,11,719
Apr 18,5992,5241,11,751
Apr 19,6588,5809,11,779
Apr 20,8014,7202,11,812
Apr 21,9125,8275,11,850
Apr 22,10141,9233,12,908
Apr 23,11178,10242,12,936
Apr 24,12075,11107,12,968
Apr 25,12693,11679,12,1014
Apr 26,13624,12552,12,1072
Apr 27,14423,13314,14,1109
Apr 28,14951,13809,14,1142
Apr 29,15641,14439,14,1202
Apr 30,16169,14910,15,1259
May 01,17101,15817,16,1284
May 02,17548,16184,17,1364
May 03,18205,16779,18,1426
May 04,18778,17303,18,1475
May 05,19410,17873,18,1537
May 06,20198,18544,20,1654
May 07,20939,19207,20,1732
May 08,21707,19647,20,2060
May 09,22460,20144,20,2316
May 10,23336,20595,20,2741
May 11,23787,20541,21,3246
May 12,24671,20799,21,3872
May 13,25346,20516,21,4830
May 14,26098,20104,21,5994
May 15,26891,19622,21,7269
May 16,27356,18992,22,8364
May 17,28038,18676,22,9362
May 18,28343,18486,22,9857
May 19,28794,18407,22,10387
May 20,29364,18135,22,11229
May 21,29812,17672,23,12140
May 22,30426,17408,23,13018
May 23,31068,17163,23,13905
May 24,31616,16717,23,14899
May 25,31960,16199,23,15761
May 26,32343,15876,23,16467
May 27,32876,15577,23,17299
