Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,1,1,0,0
Feb 23,1,1,0,0
Feb 24,1,1,0,0
Feb 25,5,5,0,0
Feb 26,5,5,0,0
Feb 27,7,7,0,0
Feb 28,8,8,0,0
Feb 29,13,13,0,0
Mar 01,19,19,0,0
Mar 02,27,27,0,0
Mar 03,32,32,0,0
Mar 04,37,35,2,2
Mar 05,40,37,3,3
Mar 06,46,41,4,5
Mar 07,54,49,4,5
Mar 08,65,58,6,7
Mar 09,71,61,7,10
Mar 10,71,49,7,22
Mar 11,71,49,7,22
Mar 12,83,51,8,32
Mar 13,101,68,9,33
Mar 14,110,74,10,36
Mar 15,124,88,10,36
Mar 16,133,91,10,42
Mar 17,154,102,11,52
Mar 18,164,111,12,53
Mar 19,192,130,13,62
Mar 20,208,142,17,66
Mar 21,214,146,17,68
Mar 22,233,156,20,77
Mar 23,266,181,23,85
Mar 24,316,214,27,102
Mar 25,346,214,29,132
Mar 26,382,241,36,141
Mar 27,458,296,40,162
Mar 28,506,333,42,173
Mar 29,547,362,42,185
Mar 30,630,432,46,198
Mar 31,694,474,50,220
Apr 01,728,494,52,234
Apr 02,772,516,54,256
Apr 03,820,540,54,280
Apr 04,878,563,56,315
Apr 05,961,621,61,340
Apr 06,1031,623,64,408
Apr 07,1122,684,65,438
Apr 08,1202,681,69,521
Apr 09,1232,667,69,565
Apr 10,1279,659,70,620
Apr 11,1318,645,72,673
Apr 12,1352,636,76,716
Apr 13,1378,583,78,795
Apr 14,1400,556,78,844
Apr 15,1415,524,79,891
Apr 16,1434,498,80,936
Apr 17,1482,495,81,987
Apr 18,1513,478,82,1035
Apr 19,1539,448,82,1091
Apr 20,1574,449,82,1125
Apr 21,1602,423,83,1179
Apr 22,1631,402,83,1229
Apr 23,1677,423,83,1254
Apr 24,1708,418,86,1290
Apr 25,1763,453,86,1310
Apr 26,1820,470,87,1350
Apr 27,1847,473,88,1374
Apr 28,1928,519,90,1409
Apr 29,2003,565,92,1438
Apr 30,2085,617,93,1468
May 01,2153,645,94,1508
May 02,2219,651,95,1568
May 03,2296,709,97,1587
May 04,2346,704,98,1642
May 05,2431,758,102,1673
May 06,2480,776,102,1704
May 07,2543,815,102,1728
May 08,2603,838,104,1765
May 09,2679,870,107,1809
May 10,2767,924,109,1843
May 11,2818,918,110,1900
May 12,2913,898,112,2015
May 13,3032,951,115,2081
May 14,3143,1000,115,2143
May 15,3193,987,117,2206
May 16,3260,1013,121,2247
May 17,3404,1063,123,2341
May 18,3554,1117,127,2437
May 19,3611,1114,131,2497
May 20,3724,1152,134,2572
May 21,3877,1254,140,2623
May 22,3964,1285,147,2679
May 23,4272,1535,152,2737
May 24,4469,1571,160,2898
May 25,4632,1658,163,2974
May 26,4848,1827,169,3021
May 27,5135,2056,175,3079
May 28,5457,2307,179,3150
May 29,5873,2644,185,3229
May 30,6179,2874,195,3305
May 31,6439,3078,205,3361
Jun 01,6868,3378,215,3490
Jun 02,7387,3644,235,3743
Jun 03,8168,3817,256,4351
Jun 04,8840,4231,271,4609
Jun 05,9846,4988,285,4858
Jun 06,11098,5876,318,5222
Jun 07,12366,6834,346,5532
Jun 08,13481,7539,370,5942
Jun 09,14268,8045,392,6223
Jun 10,15414,8774,426,6640
