Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,4,4,0,0
Feb 28,6,6,0,0
Feb 29,15,15,0,0
Mar 01,19,19,0,0
Mar 02,25,25,0,0
Mar 03,33,33,0,0
Mar 04,59,59,0,0
Mar 05,94,94,0,0
Mar 06,127,126,0,1
Mar 07,156,156,0,0
Mar 08,176,175,0,1
Mar 09,227,226,0,1
Mar 10,400,399,0,1
Mar 11,629,628,0,1
Mar 12,800,798,1,2
Mar 13,996,994,1,2
Mar 14,1109,1105,3,4
Mar 15,1256,1252,3,4
Mar 16,1348,1344,3,4
Mar 17,1471,1467,3,4
Mar 18,1591,1584,6,7
Mar 19,1790,1782,7,8
Mar 20,1959,1951,7,8
Mar 21,2164,2151,7,13
Mar 22,2385,2372,7,13
Mar 23,2625,2609,10,16
Mar 24,2866,2848,12,18
Mar 25,3084,3064,14,20
Mar 26,3372,3352,14,20
Mar 27,3771,3745,19,26
Mar 28,4015,3985,23,30
Mar 29,4284,4251,26,33
Mar 30,4445,4401,32,44
Mar 31,4641,4589,39,52
Apr 01,4877,4820,44,57
Apr 02,5147,5065,50,82
Apr 03,5370,5279,59,91
Apr 04,5550,5456,62,94
Apr 05,5687,5584,71,103
Apr 06,5865,5757,76,108
Apr 07,6086,5965,89,121
Apr 08,6042,5909,101,133
Apr 09,6219,6079,108,140
Apr 10,6314,6169,113,145
Apr 11,6409,6258,119,151
Apr 12,6525,6365,128,160
Apr 13,6603,6437,134,166
Apr 14,6623,6452,139,171
Apr 15,6797,6615,150,182
Apr 16,6905,6721,152,184
Apr 17,6937,6744,161,193
Apr 18,7036,6840,164,196
Apr 19,7078,6881,165,197
Apr 20,7156,6943,181,213
Apr 21,7241,7027,182,214
Apr 22,7338,7119,187,219
Apr 23,7401,7175,194,226
Apr 24,7463,7232,199,231
Apr 25,7493,7260,201,233
Apr 26,7527,7294,201,233
Apr 27,7599,7362,205,237
Apr 28,7660,7422,206,238
Apr 29,7710,7471,207,239
Apr 30,7738,7496,210,242
May 01,7783,7541,210,242
May 02,7809,7566,211,243
May 03,7847,7604,211,243
May 04,7904,7658,214,246
May 05,7955,7708,215,247
May 06,7996,7748,216,248
May 07,8034,7785,217,249
May 08,8070,7820,218,250
May 09,8099,7848,219,251
May 10,8105,7854,219,251
May 11,8132,7876,224,256
May 12,8157,7897,228,260
May 13,8175,7914,229,261
May 14,8196,7932,232,264
May 15,8219,7955,232,264
May 16,8237,7973,232,264
May 17,8249,7985,232,264
May 18,8257,7992,233,265
May 19,8267,8002,233,265
May 20,8281,8015,234,266
May 21,8309,8042,235,267
May 22,8332,370,235,7962
May 23,8346,384,235,7962
May 24,8352,390,235,7962
May 25,8364,402,235,7962
May 26,8383,421,235,7962
May 27,8401,439,235,7962
May 28,8411,448,236,7963
May 29,8422,459,236,7963
May 30,8437,474,236,7963
May 31,8440,477,236,7963
Jun 01,8446,483,236,7963
Jun 02,8455,491,237,7964
Jun 03,8477,513,237,7964
Jun 04,8504,128,238,8376
Jun 05,8522,146,238,8376
Jun 06,8531,155,238,8376
Jun 07,8547,171,238,8376
Jun 08,8561,184,239,8377
Jun 09,8576,199,239,8377
Jun 10,8594,217,239,8377
Jun 11,8608,228,242,8380
